departamento,localidad,codloc,poblacion,densidad
TACUAREMBO,SAN GREGORIO DE POLANCO,18521,3415,527
TACUAREMBO,TAMBORES,18695,450,884
TACUAREMBO,ACHAR,18721,687,1182
TACUAREMBO,ANSINA,18722,2712,1867
TACUAREMBO,CURTINA,18723,1037,984
TACUAREMBO,PASO DEL CERRO,18724,235,444
TACUAREMBO,CLARA,18822,160,294
TACUAREMBO,CUCHILLA DEL OMBU,18825,87,2116
TACUAREMBO,LA HILERA,18827,107,470
TACUAREMBO,LAS TOSCAS,18828,1142,963
TACUAREMBO,PASO BONILLA,18829,510,2283
TACUAREMBO,PUEBLO DE ARRIBA,18830,170,367
TACUAREMBO,PUEBLO DEL BARRO,18831,98,1041
TACUAREMBO,RINCON DEL BONETE,18833,54,76
TACUAREMBO,BALNEARIO IPORA,18834,298,365
TACUAREMBO,PIEDRA SOLA,18894,88,973
TACUAREMBO,CARDOZO,18925,42,19
TACUAREMBO,CHAMBERLAIN,18928,52,357
TACUAREMBO,CUCHILLA DE PERALTA,18931,218,665
TACUAREMBO,LA PEDRERA,18937,240,3969
TACUAREMBO,LAURELES,18952,19,31
TACUAREMBO,MONTEVIDEO CHICO,18963,26,594
TACUAREMBO,CERRO DE PASTOREO,18971,24,984
TACUAREMBO,SAUCE DE BATOVI,18980,133,2360
TACUAREMBO,PUNTAS DE CINCO SAUCES,18990,51,479
TACUAREMBO,RINCON DE PEREIRA,18991,23,674
TACUAREMBO,PUNTA DE CARRETERA,18992,110,1560
TACUAREMBO,CRUZ DE LOS CAMINOS,18993,463,196
TREINTA Y TRE,TREINTA Y TRES,19220,25477,2835
TREINTA Y TRE,SANTA CLARA DE OLIMAR,19521,2341,620
TREINTA Y TRE,VERGARA,19522,3810,1173
TREINTA Y TRE,ARROZAL TREINTA Y TRES,19721,344,679
TREINTA Y TRE,GRAL. ENRIQUE MARTINEZ,19722,1430,1098
TREINTA Y TRE,VILLA SARA,19723,1199,632
TREINTA Y TRE,CERRO CHATO,19790,1694,1902
TREINTA Y TRE,ESTACION RINCON,19821,674,634
TREINTA Y TRE,ISLA PATRULLA (MARIA ISABEL),19822,230,280
TREINTA Y TRE,VALENTINES,19896,133,595
TREINTA Y TRE,POBLADO ALONZO,19922,19,241
TREINTA Y TRE,ARROCERA RINCON,19924,62,1477
TREINTA Y TRE,ARROCERA LOS CEIBOS,19940,49,632
TREINTA Y TRE,MARIA ALBINA,19941,68,125
TREINTA Y TRE,MENDIZABAL (EL ORO),19942,82,180
TREINTA Y TRE,PUNTAS DEL PARAO,19947,16,207
TREINTA Y TRE,VILLA PASSANO,19955,18,70
TREINTA Y TRE,EJIDO DE TREINTA Y TRES,19956,6782,467
TREINTA Y TRE,EL BELLACO,19960,54,779
TREINTA Y TRE,ARROCERA LOS TEROS,19961,21,487
TREINTA Y TRE,ARROCERA BONOMO,19962,8,268
TREINTA Y TRE,ARROCERA EL TIGRE,19963,39,797
TREINTA Y TRE,ARROCERA LA CATUMBERA,19964,34,1269
TREINTA Y TRE,ARROCERA LA QUERENCIA,19965,29,2346
TREINTA Y TRE,ARROCERA LAS PALMAS,19966,40,1166
TREINTA Y TRE,ARROCERA MINI,19967,41,949
TREINTA Y TRE,ARROCERA PROCIPA,19968,55,367
TREINTA Y TRE,ARROCERA SAN FERNANDO,19969,72,1475
TREINTA Y TRE,ARROCERA SANTA FE,19970,25,749
TREINTA Y TRE,ARROCERA ZAPATA,19971,116,609
