departamento,localidad,codloc,poblacion,densidad
CANELONES,CASTELLANOS,3823,520,328
CANELONES,BARRIO COPOLA,3825,826,4207
CANELONES,COSTA AZUL,3826,965,348
CANELONES,COSTA Y GUILLAMON,3827,550,7728
CANELONES,EL PINAR,3828,21091,1426
CANELONES,ESTACION MIGUES,3829,144,1108
CANELONES,PINAMAR - PINEPARK,3830,4724,908
CANELONES,LAGOMAR,3831,8066,2024
CANELONES,OLMOS,3832,662,3172
CANELONES,PARADA CABRERA,3833,409,304
CANELONES,SAN LUIS,3834,1878,403
CANELONES,SHANGRILA,3835,3195,1656
CANELONES,TOTORAL DEL SAUCE,3836,746,967
CANELONES,VILLA FELICIDAD,3837,1344,4646
CANELONES,VILLA PAZ S.A.,3838,542,4985
CANELONES,VILLA SAN JOSE,3839,1419,2664
CANELONES,ESTACION TAPIA,3840,213,723
CANELONES,VILLA SAN FELIPE,3880,242,1635
CANELONES,VILLA HADITA,3881,235,701
CANELONES,PASO DE PACHE,3882,147,2722
CANELONES,CITY GOLF,3910,1104,815
CANELONES,VIEJO MOLINO SAN BERNARDO,3911,456,2132
CANELONES,ESTANQUE DE PANDO,3912,770,4486
CANELONES,JARDINES DE PANDO,3913,756,2095
CANELONES,PASO ESPINOSA,3914,333,1365
CANELONES,ARAMINDA,3921,152,90
CANELONES,ARGENTINO,3922,68,19
CANELONES,BELLO HORIZONTE,3925,416,98
CANELONES,BIARRITZ,3926,57,29
CANELONES,BOLIVAR,3927,139,267
CANELONES,CAMPO MILITAR,3928,299,1208
CANELONES,CAPILLA DE CELLA,3929,119,953
CANELONES,CRUZ DE LOS CAMINOS,3934,279,372
CANELONES,CUCHILLA ALTA,3935,527,306
CANELONES,EL BOSQUE,3939,988,2888
CANELONES,ESTACION PEDRERA,3942,140,804
CANELONES,FORTIN DE SANTA ROSA,3943,296,129
CANELONES,FRACC. PROGRESO,3944,145,891
CANELONES,INSTITUTO ADVENTISTA,3945,183,536
CANELONES,JAUREGUIBERRY,3946,458,52
CANELONES,LA LUCHA,3948,492,4560
CANELONES,LA MONTAÑESA,3949,396,1901
CANELONES,LOMAS DE SOLYMAR,3953,19124,1878
CANELONES,LOS TITANES,3956,153,291
CANELONES,MARINDIA,3957,3543,1281
CANELONES,NEPTUNIA,3959,4774,703
CANELONES,PASO DE LA CADENA,3962,142,2154
CANELONES,PASO PALOMEQUE,3966,98,308
CANELONES,PIEDRA DEL TORO,3968,332,876
CANELONES,ESTACION PIEDRAS DE AFILAR,3969,91,1046
CANELONES,EL GALEON,3970,192,66
CANELONES,SANTA ANA,3974,273,115
CANELONES,SANTA LUCIA DEL ESTE,3975,286,134
CANELONES,SEIS HERMANOS,3978,622,3193
CANELONES,VILLA AREJO,3979,147,512
CANELONES,VILLA ARGENTINA,3980,622,818
CANELONES,VILLA PORVENIR,3984,507,1143
CANELONES,LA TUNA,3985,204,363
CANELONES,GUAZU - VIRA,3986,86,11
