loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m
1020,17623,8,1304729,1124,102017623,280578
3953,17623,2,19124,1124,395317623,305398
5320,17623,3,26231,1124,532017623,145829
5321,17623,9,18041,1124,532117623,77710
5423,17623,5,9857,1124,542317623,67229
7320,17623,1,21429,1124,732017623,165379
10320,17623,2,62590,1124,1032017623,399934
11120,17623,1,76412,1124,1112017623,159877
12320,17623,2,24406,1124,1232017623,73204
12621,17623,2,2450,1124,1262117623,78400
14521,17623,1,9675,1124,1452117623,550927
14928,17623,1,95,1124,1492817623,522399
18722,17623,1,2712,1124,1872217623,412161
1020,17624,15,1304729,381,102017624,264822
6721,17624,1,976,381,672117624,133821
7320,17624,2,21429,381,732017624,87489
11120,17624,1,76412,381,1112017624,117336
12320,17624,5,24406,381,1232017624,101995
12421,17624,6,16756,381,1242117624,55957
12723,17624,1,598,381,1272317624,58291
12797,17624,2,779,381,1279717624,92925
15120,17624,2,104011,381,1512017624,231427
16220,17624,3,36743,381,1622017624,184207
1020,17721,8,1304729,783,102017721,213155
12320,17721,1,24406,783,1232017721,91064
13220,17721,4,64465,783,1322017721,446078
16220,17721,1,36743,783,1622017721,135661
16964,17721,3,99,783,1696417721,151414
1020,17722,21,1304729,998,102017722,183331
5320,17722,3,26231,998,532017722,96590
5323,17722,4,12816,998,532317722,83342
5421,17722,1,10630,998,542117722,67521
5422,17722,2,10085,998,542217722,65860
5521,17722,2,3390,998,552117722,44708
5522,17722,1,6632,998,552217722,74189
5622,17722,4,3716,998,562217722,15375
10320,17722,1,62590,998,1032017722,299343
12320,17722,4,24406,998,1232017722,114545
14320,17722,3,25422,998,1432017722,366503
1020,17798,2,1304729,394,102017798,241969
5320,17798,1,26231,394,532017798,97471
5321,17798,6,18041,394,532117798,22718
5423,17798,14,9857,394,542317798,17630
12320,17798,3,24406,394,1232017798,104528
16421,17798,1,10166,394,1642117798,194979
16824,17798,1,6870,394,1682417798,214190
1020,17823,7,1304729,557,102017823,205751
2927,17823,3,264,557,292717823,438025
5422,17823,1,10085,557,542217823,88280
8823,17823,3,730,557,882317823,189159
9721,17823,1,713,557,972117823,353253
15523,17823,3,2762,557,1552317823,352925
1020,17824,2,1304729,456,102017824,271711
12320,17824,4,24406,456,1232017824,77984
1020,17825,4,1304729,430,102017825,237460
5320,17825,1,26231,430,532017825,102711
5522,17825,4,6632,430,552217825,94050
10320,17825,2,62590,430,1032017825,365442
12320,17825,1,24406,430,1232017825,92718
18321,17825,1,12985,430,1832117825,252359
1020,17930,1,1304729,74,102017930,273235
16220,17930,4,36743,74,1622017930,210357
16824,17930,1,6870,74,1682417930,245456
1020,17931,2,1304729,118,102017931,279851
16521,17931,1,20239,118,1652117931,257506
18220,17931,1,54755,118,1822017931,355872
1020,17950,13,1304729,1961,102017950,257340
2220,17950,1,40657,1961,222017950,474382
3221,17950,2,71258,1961,322117950,260616
3320,17950,2,19865,1961,332017950,239941
3528,17950,2,5089,1961,352817950,296096
5321,17950,2,18041,1961,532117950,53358
10320,17950,1,62590,1961,1032017950,385322
12320,17950,1,24406,1961,1232017950,73834
16945,17950,1,162,1961,1694517950,185641
19522,17950,4,3810,1961,1952217950,487047
1020,17952,1,1304729,131,102017952,202674
5521,17952,6,3390,131,552117952,16899
8220,17952,1,33639,131,822017952,195786
