,cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
78,806,8,FLORIDA,6,DURAZNO,307,17767290,67047,13023942,57084,121653,16.38229991389759,11.708928008820047
79,906,9,LAVALLEJA,6,DURAZNO,29,15594153,58815,13023942,57084,202724,16.38229991389759,12.219600727009865
80,1006,10,MALDONADO,6,DURAZNO,75,51311595,164298,13023942,57084,260638,16.38229991389759,12.470887750387156
81,1106,11,PAYSANDU,6,DURAZNO,55,26828524,113107,13023942,57084,256357,16.38229991389759,12.45432628325604
82,1206,12,RIO NEGRO,6,DURAZNO,54,24297744,54765,13023942,57084,235479,16.38229991389759,12.36937701648803
83,1306,13,RIVERA,6,DURAZNO,50,20212707,103473,13023942,57084,336664,16.38229991389759,12.726840679325884
84,1406,14,ROCHA,6,DURAZNO,18,17547856,68088,13023942,57084,299700,16.38229991389759,12.610537253304754
85,1506,15,SALTO,6,DURAZNO,14,25542275,124861,13023942,57084,347976,16.38229991389759,12.75988879086114
86,1606,16,SAN JOSE,6,DURAZNO,59,26930981,108304,13023942,57084,174995,16.38229991389759,12.07251268106891
87,1706,17,SORIANO,6,DURAZNO,57,22993631,82594,13023942,57084,195675,16.38229991389759,12.18421039867304
88,1806,18,TACUAREMBO,6,DURAZNO,304,18093592,90051,13023942,57084,200264,16.38229991389759,12.207391775096072
89,1906,19,TREINTA Y TRES,6,DURAZNO,91,11720592,48134,13023942,57084,217352,16.38229991389759,12.289273438122935
90,107,1,MONTEVIDEO,7,FLORES,378,465848031,1318755,7284124,25050,182361,15.801207743298134,12.11374351797104
91,207,2,ARTIGAS,7,FLORES,21,14214980,73377,7284124,25050,450737,15.801207743298134,13.018639299828806
92,307,3,CANELONES,7,FLORES,82,86306492,520173,7284124,25050,174329,15.801207743298134,12.068699597473461
93,407,4,CERRO LARGO,7,FLORES,5,17048887,84698,7284124,25050,347484,15.801207743298134,12.758473899761498
94,507,5,COLONIA,7,FLORES,69,43788749,123203,7284124,25050,125265,15.801207743298134,11.738186772255439
95,607,6,DURAZNO,7,FLORES,149,13023942,57084,7284124,25050,74436,15.801207743298134,11.217694974761118
96,807,8,FLORIDA,7,FLORES,84,17767290,67047,7284124,25050,125607,15.801207743298134,11.740913263947315
97,907,9,LAVALLEJA,7,FLORES,17,15594153,58815,7284124,25050,236470,15.801207743298134,12.373576628973705
98,1007,10,MALDONADO,7,FLORES,58,51311595,164298,7284124,25050,272160,15.801207743298134,12.51414540762969
99,1107,11,PAYSANDU,7,FLORES,29,26828524,113107,7284124,25050,187007,15.801207743298134,12.138901328291201
100,1207,12,RIO NEGRO,7,FLORES,77,24297744,54765,7284124,25050,166130,15.801207743298134,12.020525893380524
101,1307,13,RIVERA,7,FLORES,22,20212707,103473,7284124,25050,359506,15.801207743298134,12.792486145850974
102,1407,14,ROCHA,7,FLORES,7,17547856,68088,7284124,25050,350525,15.801207743298134,12.767187309589332
103,1507,15,SALTO,7,FLORES,20,25542275,124861,7284124,25050,305969,15.801207743298134,12.631239068613056
104,1607,16,SAN JOSE,7,FLORES,122,26930981,108304,7284124,25050,120843,15.801207743298134,11.702247461408927
105,1707,17,SORIANO,7,FLORES,90,22993631,82594,7284124,25050,126326,15.801207743298134,11.74662114621823
106,1807,18,TACUAREMBO,7,FLORES,79,18093592,90051,7284124,25050,223107,15.801207743298134,12.315406755992951
107,1907,19,TREINTA Y TRES,7,FLORES,2,11720592,48134,7284124,25050,287718,15.801207743298134,12.569736112754574
108,108,1,MONTEVIDEO,8,FLORIDA,1026,465848031,1318755,17767290,67047,102030,16.692869684280286,11.533022166669351
109,208,2,ARTIGAS,8,FLORIDA,40,14214980,73377,17767290,67047,533821,16.692869684280286,13.187815855755735
110,308,3,CANELONES,8,FLORIDA,670,86306492,520173,17767290,67047,88132,16.692869684280286,11.386590969584079
111,408,4,CERRO LARGO,8,FLORIDA,73,17048887,84698,17767290,67047,335796,16.692869684280286,12.724259111702338
112,508,5,COLONIA,8,FLORIDA,53,43788749,123203,17767290,67047,194958,16.692869684280286,12.180539429731901
113,608,6,DURAZNO,8,FLORIDA,404,13023942,57084,17767290,67047,121653,16.692869684280286,11.708928008820047
114,708,7,FLORES,8,FLORIDA,76,7284124,25050,17767290,67047,125607,16.692869684280286,11.740913263947315
115,908,9,LAVALLEJA,8,FLORIDA,138,15594153,58815,17767290,67047,130899,16.692869684280286,11.782181312449406
116,1008,10,MALDONADO,8,FLORIDA,121,51311595,164298,17767290,67047,166590,16.692869684280286,12.023290982903763
117,1108,11,PAYSANDU,8,FLORIDA,57,26828524,113107,17767290,67047,311292,16.692869684280286,12.64848665741654
118,1208,12,RIO NEGRO,8,FLORIDA,27,24297744,54765,17767290,67047,290414,16.692869684280286,12.579062770137135
119,1308,13,RIVERA,8,FLORIDA,63,20212707,103473,17767290,67047,419306,16.692869684280286,12.946356242620032
120,1408,14,ROCHA,8,FLORIDA,45,17547856,68088,17767290,67047,253253,16.692869684280286,12.44214426804274
121,1508,15,SALTO,8,FLORIDA,48,25542275,124861,17767290,67047,427873,16.692869684280286,12.96658170155922
122,1608,16,SAN JOSE,8,FLORIDA,252,26930981,108304,17767290,67047,96337,16.692869684280286,11.475607739985847
123,1708,17,SORIANO,8,FLORIDA,40,22993631,82594,17767290,67047,250610,16.692869684280286,12.4316532248778
124,1808,18,TACUAREMBO,8,FLORIDA,92,18093592,90051,17767290,67047,282906,16.692869684280286,12.552869965972494
125,1908,19,TREINTA Y TRES,8,FLORIDA,58,11720592,48134,17767290,67047,238184,16.692869684280286,12.380798763202296
126,109,1,MONTEVIDEO,9,LAVALLEJA,825,465848031,1318755,15594153,58815,135946,16.562406594269497,11.820013027045933
127,209,2,ARTIGAS,9,LAVALLEJA,15,14214980,73377,15594153,58815,593134,16.562406594269497,13.293175622098437
128,309,3,CANELONES,9,LAVALLEJA,403,86306492,520173,15594153,58815,114784,16.562406594269497,11.65080738033201
129,409,4,CERRO LARGO,9,LAVALLEJA,131,17048887,84698,15594153,58815,268550,16.562406594269497,12.500792395333605
130,509,5,COLONIA,9,LAVALLEJA,19,43788749,123203,15594153,58815,282443,16.562406594269497,12.55123203929884
131,609,6,DURAZNO,9,LAVALLEJA,67,13023942,57084,15594153,58815,202724,16.562406594269497,12.219600727009865
132,709,7,FLORES,9,LAVALLEJA,5,7284124,25050,15594153,58815,236470,16.562406594269497,12.373576628973705
133,809,8,FLORIDA,9,LAVALLEJA,163,17767290,67047,15594153,58815,130899,16.562406594269497,11.782181312449406
134,1009,10,MALDONADO,9,LAVALLEJA,407,51311595,164298,15594153,58815,85327,16.562406594269497,11.354246213289242
135,1109,11,PAYSANDU,9,LAVALLEJA,37,26828524,113107,15594153,58815,422154,16.562406594269497,12.953125455357743
136,1209,12,RIO NEGRO,9,LAVALLEJA,15,24297744,54765,15594153,58815,401277,16.562406594269497,12.902407240882138
137,1309,13,RIVERA,9,LAVALLEJA,49,20212707,103473,15594153,58815,464966,16.562406594269497,13.049719563616652
