cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
2220,"-30.42583821419782,-56.48691836714405",4220,"-32.366965911958815,-54.16797657500114",22204220,356523
2220,"-30.42583821419782,-56.48691836714405",5320,"-34.45055037560706,-57.838919942012616",22205320,571901
2220,"-30.42583821419782,-56.48691836714405",6220,"-33.38250225260489,-56.5226838660229",22206220,400862
2220,"-30.42583821419782,-56.48691836714405",7320,"-33.5214825688165,-56.89958042575091",22207320,442030
2220,"-30.42583821419782,-56.48691836714405",8220,"-34.10300406870569,-56.22187817478847",22208220,488853
2220,"-30.42583821419782,-56.48691836714405",9220,"-34.37662152849474,-55.244018002185456",22209220,568659
2220,"-30.42583821419782,-56.48691836714405",10320,"-34.8972187652653,-54.94737237904476",222010320,640067
2220,"-30.42583821419782,-56.48691836714405",11120,"-32.318768140700776,-58.07902159500193",222011120,317730
2220,"-30.42583821419782,-56.48691836714405",12320,"-33.12672715408673,-58.29894536750416",222012320,437289
2220,"-30.42583821419782,-56.48691836714405",13220,"-30.91647986120184,-55.569795769247854",222013220,118318
2220,"-30.42583821419782,-56.48691836714405",14320,"-34.47922798203669,-54.326604990723666",222014320,617776
2220,"-30.42583821419782,-56.48691836714405",15120,"-31.39099520425074,-57.938559131114474",222015120,200603
2220,"-30.42583821419782,-56.48691836714405",16220,"-34.338333026427584,-56.71343246500763",222016220,520412
2220,"-30.42583821419782,-56.48691836714405",17220,"-33.255057139215,-58.03061475685623",222017220,434679
2220,"-30.42583821419782,-56.48691836714405",18220,"-31.71656576589131,-55.98227865899393",222018220,196094
2220,"-30.42583821419782,-56.48691836714405",19220,"-33.23222966487474,-54.38252254973986",222019220,449595
3320,"-34.5248820942228,-56.28134757794109",1020,"-34.83459368462574,-56.200727322283996",33201020,36862
3320,"-34.5248820942228,-56.28134757794109",2220,"-30.42583821419782,-56.48691836714405",33202220,539024
3320,"-34.5248820942228,-56.28134757794109",4220,"-32.366965911958815,-54.16797657500114",33204220,359930
3320,"-34.5248820942228,-56.28134757794109",5320,"-34.45055037560706,-57.838919942012616",33205320,158096
3320,"-34.5248820942228,-56.28134757794109",6220,"-33.38250225260489,-56.5226838660229",33206220,138764
3320,"-34.5248820942228,-56.28134757794109",7320,"-33.5214825688165,-56.89958042575091",33207320,140883
3320,"-34.5248820942228,-56.28134757794109",8220,"-34.10300406870569,-56.22187817478847",33208220,51129
3320,"-34.5248820942228,-56.28134757794109",9220,"-34.37662152849474,-55.244018002185456",33209220,108593
3320,"-34.5248820942228,-56.28134757794109",10320,"-34.8972187652653,-54.94737237904476",332010320,145983
3320,"-34.5248820942228,-56.28134757794109",11120,"-32.318768140700776,-58.07902159500193",332011120,323672
3320,"-34.5248820942228,-56.28134757794109",12320,"-33.12672715408673,-58.29894536750416",332012320,266950
3320,"-34.5248820942228,-56.28134757794109",13220,"-30.91647986120184,-55.569795769247854",332013220,453939
3320,"-34.5248820942228,-56.28134757794109",14320,"-34.47922798203669,-54.326604990723666",332014320,218028
3320,"-34.5248820942228,-56.28134757794109",15120,"-31.39099520425074,-57.938559131114474",332015120,438130
3320,"-34.5248820942228,-56.28134757794109",16220,"-34.338333026427584,-56.71343246500763",332016220,47333
3320,"-34.5248820942228,-56.28134757794109",17220,"-33.255057139215,-58.03061475685623",332017220,235797
3320,"-34.5248820942228,-56.28134757794109",18220,"-31.71656576589131,-55.98227865899393",332018220,343819
3320,"-34.5248820942228,-56.28134757794109",19220,"-33.23222966487474,-54.38252254973986",332019220,268407
4220,"-32.366965911958815,-54.16797657500114",1020,"-34.83459368462574,-56.200727322283996",42201020,381442
4220,"-32.366965911958815,-54.16797657500114",2220,"-30.42583821419782,-56.48691836714405",42202220,356548
4220,"-32.366965911958815,-54.16797657500114",3320,"-34.5248820942228,-56.28134757794109",42203320,359923
4220,"-32.366965911958815,-54.16797657500114",5320,"-34.45055037560706,-57.838919942012616",42205320,481102
4220,"-32.366965911958815,-54.16797657500114",6220,"-33.38250225260489,-56.5226838660229",42206220,290343
4220,"-32.366965911958815,-54.16797657500114",7320,"-33.5214825688165,-56.89958042575091",42207320,330712
4220,"-32.366965911958815,-54.16797657500114",8220,"-34.10300406870569,-56.22187817478847",42208220,320533
4220,"-32.366965911958815,-54.16797657500114",9220,"-34.37662152849474,-55.244018002185456",42209220,277768
4220,"-32.366965911958815,-54.16797657500114",10320,"-34.8972187652653,-54.94737237904476",422010320,321791
4220,"-32.366965911958815,-54.16797657500114",11120,"-32.318768140700776,-58.07902159500193",422011120,435311
4220,"-32.366965911958815,-54.16797657500114",12320,"-33.12672715408673,-58.29894536750416",422012320,486397
4220,"-32.366965911958815,-54.16797657500114",13220,"-30.91647986120184,-55.569795769247854",422013220,241003
4220,"-32.366965911958815,-54.16797657500114",14320,"-34.47922798203669,-54.326604990723666",422014320,280561
4220,"-32.366965911958815,-54.16797657500114",15120,"-31.39099520425074,-57.938559131114474",422015120,417600
4220,"-32.366965911958815,-54.16797657500114",16220,"-34.338333026427584,-56.71343246500763",422016220,391760
4220,"-32.366965911958815,-54.16797657500114",17220,"-33.255057139215,-58.03061475685623",422017220,456173
4220,"-32.366965911958815,-54.16797657500114",18220,"-31.71656576589131,-55.98227865899393",422018220,201795
4220,"-32.366965911958815,-54.16797657500114",19220,"-33.23222966487474,-54.38252254973986",422019220,112380
5320,"-34.45055037560706,-57.838919942012616",1020,"-34.83459368462574,-56.200727322283996",53201020,172713
5320,"-34.45055037560706,-57.838919942012616",2220,"-30.42583821419782,-56.48691836714405",53202220,571901
5320,"-34.45055037560706,-57.838919942012616",3320,"-34.5248820942228,-56.28134757794109",53203320,158097
