depto_origen,depto_destino,cod,n,edad_promedio,edad_mediana,varones,mujeres,ind_masc
11,10,1110,420,29.75952380952381,26,221,199,111.06
11,12,1112,640,30.634375,28,340,300,113.33
11,13,1113,66,31.606060606060606,30,36,30,120.0
11,14,1114,50,31.6,28,28,22,127.27
11,15,1115,480,28.652083333333334,22,237,243,97.53
11,16,1116,116,26.53448275862069,24,55,61,90.16
11,17,1117,98,30.73469387755102,28,46,52,88.46
11,18,1118,229,33.580786026200876,30,114,115,99.13
11,19,1119,25,32.36,27,15,10,150.0
12,1,1201,1219,26.619360131255128,21,542,677,80.06
12,2,1202,30,27.733333333333334,29,22,8,275.0
12,3,1203,316,30.082278481012658,28,147,169,86.98
12,4,1204,20,42.4,41,11,9,122.22
12,5,1205,176,31.02840909090909,28,90,86,104.65
12,6,1206,54,34.01851851851852,30,28,26,107.69
12,7,1207,77,30.68831168831169,30,39,38,102.63
12,8,1208,27,34.0,35,14,13,107.69
12,9,1209,15,24.0,24,10,5,200.0
12,10,1210,223,32.28699551569507,29,124,99,125.25
12,11,1211,516,31.0968992248062,26,259,257,100.78
12,13,1213,54,26.5,24,25,29,86.21
12,14,1214,48,23.395833333333332,22,22,26,84.62
12,15,1215,133,26.796992481203006,21,52,81,64.2
12,16,1216,107,29.27102803738318,25,49,58,84.48
12,17,1217,270,28.262962962962963,25,129,141,91.49
12,18,1218,89,35.056179775280896,35,48,41,117.07
12,19,1219,9,35.666666666666664,28,5,4,125.0
13,1,1301,2390,27.564853556485357,22,1039,1351,76.91
13,2,1302,102,32.8235294117647,31,55,47,117.02
13,3,1303,584,32.832191780821915,26,282,302,93.38
13,4,1304,162,29.425925925925927,26,97,65,149.23
13,5,1305,77,31.636363636363637,26,37,40,92.5
13,6,1306,50,28.82,25,22,28,78.57
13,7,1307,22,37.95454545454545,28,9,13,69.23
13,8,1308,63,31.333333333333332,31,34,29,117.24
13,9,1309,49,33.02040816326531,30,25,24,104.17
13,10,1310,227,28.665198237885463,24,116,111,104.5
13,11,1311,143,27.95104895104895,23,87,56,155.36
13,12,1312,36,30.694444444444443,27,17,19,89.47
13,14,1314,46,33.52173913043478,31,22,24,91.67
13,15,1315,120,28.316666666666666,23,49,71,69.01
13,16,1316,99,32.08080808080808,29,43,56,76.79
13,17,1317,25,29.48,24,11,14,78.57
13,18,1318,546,29.824175824175825,27,269,277,97.11
13,19,1319,57,25.719298245614034,21,28,29,96.55
14,1,1401,1435,27.975609756097562,22,601,834,72.06
14,2,1402,8,34.5,23,3,5,60.0
14,3,1403,407,34.5012285012285,31,205,202,101.49
14,4,1404,59,34.271186440677965,31,28,31,90.32
14,5,1405,49,33.44897959183673,33,25,24,104.17
14,6,1406,18,28.444444444444443,25,6,12,50.0
14,7,1407,7,36.285714285714285,29,5,2,250.0
14,8,1408,45,30.333333333333332,30,23,22,104.55
14,9,1409,130,31.06153846153846,28,58,72,80.56
14,10,1410,952,31.03361344537815,27,458,494,92.71
14,11,1411,32,29.40625,23,23,9,255.56
