cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
8,"-34.032026238093366,-56.13160980422134",11,"-32.283872150647106,-57.959994965057604",811,311240
8,"-34.032026238093366,-56.13160980422134",12,"-32.92202758658411,-57.975510334124905",812,290364
8,"-34.032026238093366,-56.13160980422134",13,"-31.02322481060381,-55.50845498927073",813,419126
8,"-34.032026238093366,-56.13160980422134",14,"-34.151878164969204,-54.031687712278405",814,253261
8,"-34.032026238093366,-56.13160980422134",15,"-31.35982522025497,-57.8823388590987",815,427824
8,"-34.032026238093366,-56.13160980422134",16,"-34.51474804942168,-56.61756156142106",816,96337
8,"-34.032026238093366,-56.13160980422134",17,"-33.41667869361325,-57.98829706231997",817,250560
8,"-34.032026238093366,-56.13160980422134",18,"-31.967640007891212,-55.9947894362848",818,282751
8,"-34.032026238093366,-56.13160980422134",19,"-33.168234436521246,-54.359141645492166",819,238184
9,"-34.21457704605623,-55.15399089880148",1,"-34.86347311448007,-56.17403019571399",901,134438
9,"-34.21457704605623,-55.15399089880148",2,"-30.407062416732217,-56.81554727891256",902,593134
9,"-34.21457704605623,-55.15399089880148",3,"-34.70480623405611,-56.04615274218908",903,114784
9,"-34.21457704605623,-55.15399089880148",4,"-32.412530637702794,-54.04713015664623",904,268569
9,"-34.21457704605623,-55.15399089880148",5,"-34.23198949912197,-57.74210900659811",905,280946
9,"-34.21457704605623,-55.15399089880148",6,"-33.29103587835989,-56.27098299307005",906,202724
9,"-34.21457704605623,-55.15399089880148",7,"-33.53920654666071,-56.90577692183583",907,236470
9,"-34.21457704605623,-55.15399089880148",8,"-34.032026238093366,-56.13160980422134",908,130899
9,"-34.21457704605623,-55.15399089880148",10,"-34.85347673674695,-54.98336526692671",910,86435
9,"-34.21457704605623,-55.15399089880148",11,"-32.283872150647106,-57.959994965057604",911,422102
9,"-34.21457704605623,-55.15399089880148",12,"-32.92202758658411,-57.975510334124905",912,401227
9,"-34.21457704605623,-55.15399089880148",13,"-31.02322481060381,-55.50845498927073",913,464972
9,"-34.21457704605623,-55.15399089880148",14,"-34.151878164969204,-54.031687712278405",914,153094
9,"-34.21457704605623,-55.15399089880148",15,"-31.35982522025497,-57.8823388590987",915,542686
9,"-34.21457704605623,-55.15399089880148",16,"-34.51474804942168,-56.61756156142106",916,174452
9,"-34.21457704605623,-55.15399089880148",17,"-33.41667869361325,-57.98829706231997",917,346834
9,"-34.21457704605623,-55.15399089880148",18,"-31.967640007891212,-55.9947894362848",918,354035
9,"-34.21457704605623,-55.15399089880148",19,"-33.168234436521246,-54.359141645492166",919,163121
