loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m,geom_ori,geom_des
8824,5323,2,810,12816,88245323,144644,POINT (572034.2714618791 6210845.955180435),POINT (459139.5927728665 6190793.685035946)
3957,5323,4,3543,12816,39575323,179940,POINT (607827.9064643878 6151493.476358996),POINT (459139.5927728665 6190793.685035946)
2826,5323,4,140,12816,28265323,581584,POINT (520577.796778048 6633204.729099359),POINT (459139.5927728665 6190793.685035946)
3625,5323,3,4199,12816,36255323,174889,POINT (601052.3176080562 6160549.431027164),POINT (459139.5927728665 6190793.685035946)
3633,5323,1,7288,12816,36335323,162130,POINT (591984.3794686475 6144145.517866863),POINT (459139.5927728665 6190793.685035946)
16923,5323,3,343,12816,169235323,69752,POINT (517907.3292085906 6202159.563670441),POINT (459139.5927728665 6190793.685035946)
1020,5421,173,1304729,10630,10205421,116938,POINT (573082.2484702046 6145008.43370907),POINT (478168.5305876654 6204951.642408893)
3221,5421,12,71258,10630,32215421,120214,POINT (571815.1381244587 6157813.988089516),POINT (478168.5305876654 6204951.642408893)
3320,5421,6,19865,10630,33205421,102739,POINT (565955.6405053993 6179409.202056422),POINT (478168.5305876654 6204951.642408893)
3322,5421,3,25947,10630,33225421,143206,POINT (594619.1628683957 6157118.214678776),POINT (478168.5305876654 6204951.642408893)
3525,5421,3,15908,10630,35255421,133184,POINT (587580.4026155119 6142292.506456386),POINT (478168.5305876654 6204951.642408893)
3621,5421,1,5562,10630,36215421,162077,POINT (613631.1844891007 6152548.397836315),POINT (478168.5305876654 6204951.642408893)
3732,5421,8,18573,10630,37325421,141231,POINT (594448.8143284387 6145604.621110858),POINT (478168.5305876654 6204951.642408893)
3828,5421,1,21091,10630,38285421,147801,POINT (600169.0660007594 6149058.795812866),POINT (478168.5305876654 6204951.642408893)
6220,5421,7,34368,10630,62205421,143124,POINT (544395.6968756896 6306205.764611009),POINT (478168.5305876654 6204951.642408893)
7721,5421,13,918,10630,77215421,46084,POINT (491662.4149445419 6242035.962422337),POINT (478168.5305876654 6204951.642408893)
8220,5421,1,33639,10630,82205421,125589,POINT (571771.8401191942 6226149.775983537),POINT (478168.5305876654 6204951.642408893)
10320,5421,13,62590,10630,103205421,244920,POINT (687553.5499826567 6136432.37380928),POINT (478168.5305876654 6204951.642408893)
10321,5421,2,27471,10630,103215421,246473,POINT (690360.4399311694 6148353.881728973),POINT (478168.5305876654 6204951.642408893)
10522,5421,1,6597,10630,105225421,214406,POINT (662119.7836328691 6150716.66988565),POINT (478168.5305876654 6204951.642408893)
10524,5421,5,9277,10630,105245421,248598,POINT (688889.8077629332 6131313.453030547),POINT (478168.5305876654 6204951.642408893)
11120,5421,9,76412,10630,111205421,268463,POINT (398432.2411582735 6423719.024001375),POINT (478168.5305876654 6204951.642408893)
11521,5421,1,5039,10630,115215421,271200,POINT (481314.2457502442 6419794.239705266),POINT (478168.5305876654 6204951.642408893)
12320,5421,7,24406,10630,123205421,181790,POINT (378827.4881471876 6333913.219373153),POINT (478168.5305876654 6204951.642408893)
12421,5421,3,16756,10630,124215421,224587,POINT (439932.1564416874 6381387.888885491),POINT (478168.5305876654 6204951.642408893)
13220,5421,5,64465,10630,132205421,457594,POINT (636661.5683717782 6578777.675353965),POINT (478168.5305876654 6204951.642408893)
14320,5421,2,25422,10630,143205421,314820,POINT (745519.4398337225 6181462.080838162),POINT (478168.5305876654 6204951.642408893)
16220,5421,24,36743,10630,162205421,55440,POINT (526358.5499632334 6200292.109874669),POINT (478168.5305876654 6204951.642408893)
16824,5421,2,6870,10630,168245421,89159,POINT (549963.6031783884 6155823.292895289),POINT (478168.5305876654 6204951.642408893)
17220,5421,15,41974,10630,172205421,149896,POINT (404000.1472399235 6319963.324545297),POINT (478168.5305876654 6204951.642408893)
18220,5421,4,54755,10630,182205421,347589,POINT (596426.0428719386 6490529.903923135),POINT (478168.5305876654 6204951.642408893)
19220,5421,4,25477,10630,192205421,351630,POINT (743905.4063065499 6319913.058989554),POINT (478168.5305876654 6204951.642408893)
3524,5421,3,6570,10630,35245421,136675,POINT (588539.0847697624 6155810.673894328),POINT (478168.5305876654 6204951.642408893)
11621,5421,3,2853,10630,116215421,318833,POINT (414734.1139299477 6466316.903838689),POINT (478168.5305876654 6204951.642408893)
17621,5421,1,2120,10630,176215421,79417,POINT (450827.2684606689 6271084.922280216),POINT (478168.5305876654 6204951.642408893)
14422,5421,1,7645,10630,144225421,345553,POINT (759102.1358370257 6270685.589727072),POINT (478168.5305876654 6204951.642408893)
2220,5421,6,40657,10630,22205421,551835,POINT (549273.2185291488 6633915.062681103),POINT (478168.5305876654 6204951.642408893)
2521,5421,7,12200,10630,25215421,521399,POINT (442454.6709403042 6652273.541484571),POINT (478168.5305876654 6204951.642408893)
6421,5421,1,7176,10630,64215421,238526,POINT (627784.2920031943 6310678.606575608),POINT (478168.5305876654 6204951.642408893)
7320,5421,1,21429,10630,73205421,103447,POINT (509325.207006696 6290894.511013233),POINT (478168.5305876654 6204951.642408893)
8622,5421,3,2398,10630,86225421,164710,POINT (616338.3934514923 6215178.131054383),POINT (478168.5305876654 6204951.642408893)
8823,5421,3,730,10630,88235421,116287,POINT (572315.9743932312 6206378.627922345),POINT (478168.5305876654 6204951.642408893)
16421,5421,1,10166,10630,164215421,69948,POINT (534837.1989801188 6167194.584904742),POINT (478168.5305876654 6204951.642408893)
16823,5421,1,344,10630,168235421,41336,POINT (504425.4872479092 6221455.075165108),POINT (478168.5305876654 6204951.642408893)
16933,5421,1,61,10630,169335421,27876,POINT (501156.9073082096 6192608.382702693),POINT (478168.5305876654 6204951.642408893)
17321,5421,6,17174,10630,173215421,143978,POINT (387010.9538811051 6289104.708993559),POINT (478168.5305876654 6204951.642408893)
17521,5421,13,4600,10630,175215421,54126,POINT (465887.5965250221 6252457.935595442),POINT (478168.5305876654 6204951.642408893)
16929,5421,23,2585,10630,169295421,20054,POINT (495184.3736793735 6198282.928264959),POINT (478168.5305876654 6204951.642408893)
4521,5421,1,3168,10630,45215421,393911,POINT (732245.5413948093 6400012.874493182),POINT (478168.5305876654 6204951.642408893)
16924,5421,4,28,10630,169245421,32173,POINT (486486.4553910885 6188647.588796336),POINT (478168.5305876654 6204951.642408893)
17622,5421,1,2123,10630,176225421,112923,POINT (425578.0808607622 6292108.87729579),POINT (478168.5305876654 6204951.642408893)
8790,5421,1,409,10630,87905421,296386,POINT (673870.4301275844 6335369.772581039),POINT (478168.5305876654 6204951.642408893)
