cod,cod_ori,cod_des,poblacion_ori,poblacion_des,personas_mig,distancia_m,geom_ori,geom_des
159492621,15949,2621,733,2531,8,94408,POINT (497748.6499938965 6559607.076508036),POINT (468458.2698047662 6601361.866908336)
159492725,15949,2725,733,1149,11,20635,POINT (497748.6499938965 6559607.076508036),POINT (512342.1634407969 6570709.350251653)
159492927,15949,2927,733,264,1,46165,POINT (497748.6499938965 6559607.076508036),POINT (520842.7523273451 6593953.682106512)
159493627,15949,3627,733,7896,3,526046,POINT (497748.6499938965 6559607.076508036),POINT (617414.9151842656 6153379.514554303)
159502725,15950,2725,145,1149,2,21571,POINT (511572.6919965264 6556802.015385423),POINT (512342.1634407969 6570709.350251653)
159591020,15959,1020,171,1304729,1,465860,POINT (487338.1313867266 6514968.154212484),POINT (573082.2484702046 6145008.43370907)
159593525,15959,3525,171,15908,1,481019,POINT (487338.1313867266 6514968.154212484),POINT (587580.4026155119 6142292.506456386)
159651020,15965,1020,481,1304729,3,493256,POINT (481046.9068480042 6539021.837204755),POINT (573082.2484702046 6145008.43370907)
159652725,15965,2725,481,1149,1,48612,POINT (481046.9068480042 6539021.837204755),POINT (512342.1634407969 6570709.350251653)
159653530,15965,3530,481,9295,1,495957,POINT (481046.9068480042 6539021.837204755),POINT (584784.9533532592 6153308.175826177)
159661020,15966,1020,750,1304729,3,481500,POINT (416945.7377526959 6530499.675444818),POINT (573082.2484702046 6145008.43370907)
159665925,15966,5925,750,158,6,380733,POINT (416945.7377526959 6530499.675444818),POINT (457605.2307288975 6208860.421745755)
159698521,15969,8521,19,2402,1,491274,POINT (410124.1986377698 6537890.080184581),POINT (624721.8532162895 6225931.051488832)
159701020,15970,1020,460,1304729,4,495419,POINT (461347.9092695047 6532916.099578857),POINT (573082.2484702046 6145008.43370907)
159702220,15970,2220,460,40657,2,147426,POINT (461347.9092695047 6532916.099578857),POINT (549273.2185291488 6633915.062681103)
159702725,15970,2725,460,1149,1,70010,POINT (461347.9092695047 6532916.099578857),POINT (512342.1634407969 6570709.350251653)
159703631,15970,3631,460,4397,1,494390,POINT (461347.9092695047 6532916.099578857),POINT (583281.2078731833 6155365.628785741)
159705831,15970,5831,460,999,1,390783,POINT (461347.9092695047 6532916.099578857),POINT (440216.6404586061 6237109.021284476)
159712220,15971,2220,101,40657,1,99823,POINT (529812.2040088469 6560507.912597492),POINT (549273.2185291488 6633915.062681103)
159718220,15971,8220,101,33639,1,451217,POINT (529812.2040088469 6560507.912597492),POINT (571771.8401191942 6226149.775983537)
159721020,15972,1020,30,1304729,1,533681,POINT (532090.3043108934 6562461.448315474),POINT (573082.2484702046 6145008.43370907)
162201020,16220,1020,36743,1304729,817,84104,POINT (526358.5499632334 6200292.109874669),POINT (573082.2484702046 6145008.43370907)
162202220,16220,2220,36743,40657,8,528540,POINT (526358.5499632334 6200292.109874669),POINT (549273.2185291488 6633915.062681103)
162202522,16220,2522,36743,2659,1,536461,POINT (526358.5499632334 6200292.109874669),POINT (457921.0007635859 6633361.660309175)
162202621,16220,2621,36743,2531,1,515170,POINT (526358.5499632334 6200292.109874669),POINT (468458.2698047662 6601361.866908336)
162203221,16220,3221,36743,71258,28,70997,POINT (526358.5499632334 6200292.109874669),POINT (571815.1381244587 6157813.988089516)
162203320,16220,3320,36743,19865,14,47361,POINT (526358.5499632334 6200292.109874669),POINT (565955.6405053993 6179409.202056422)
162203321,16220,3321,36743,20524,8,74226,POINT (526358.5499632334 6200292.109874669),POINT (570666.0469444469 6153926.677853951)
162203322,16220,3322,36743,25947,6,88933,POINT (526358.5499632334 6200292.109874669),POINT (594619.1628683957 6157118.214678776)
162203323,16220,3323,36743,16742,34,34964,POINT (526358.5499632334 6200292.109874669),POINT (556468.9904573727 6186643.790688833)
162203421,16220,3421,36743,16244,3,65778,POINT (526358.5499632334 6200292.109874669),POINT (571422.0096265917 6162788.050535546)
162203422,16220,3422,36743,7133,1,84114,POINT (526358.5499632334 6200292.109874669),POINT (596125.5232531353 6204942.494705392)
162203521,16220,3521,36743,31650,8,89065,POINT (526358.5499632334 6200292.109874669),POINT (591966.3938865843 6153953.745800025)
162203523,16220,3523,36743,9624,4,96030,POINT (526358.5499632334 6200292.109874669),POINT (589348.7665842462 6146607.870809368)
162203525,16220,3525,36743,15908,1,99263,POINT (526358.5499632334 6200292.109874669),POINT (587580.4026155119 6142292.506456386)
162203526,16220,3526,36743,3727,7,71248,POINT (526358.5499632334 6200292.109874669),POINT (588221.5369427514 6182184.812525066)
162203527,16220,3527,36743,6132,2,73149,POINT (526358.5499632334 6200292.109874669),POINT (585749.3500300343 6165158.817215529)
162203530,16220,3530,36743,9295,1,87694,POINT (526358.5499632334 6200292.109874669),POINT (584784.9533532592 6153308.175826177)
162203621,16220,3621,36743,5562,4,112899,POINT (526358.5499632334 6200292.109874669),POINT (613631.1844891007 6152548.397836315)
162203624,16220,3624,36743,2508,2,54395,POINT (526358.5499632334 6200292.109874669),POINT (558431.9420450316 6170250.813025981)
162203625,16220,3625,36743,4199,7,95775,POINT (526358.5499632334 6200292.109874669),POINT (601052.3176080562 6160549.431027164)
162203627,16220,3627,36743,7896,3,116484,POINT (526358.5499632334 6200292.109874669),POINT (617414.9151842656 6153379.514554303)
162203630,16220,3630,36743,1797,3,113667,POINT (526358.5499632334 6200292.109874669),POINT (618893.624235 6161139.195584168)
162203633,16220,3633,36743,7288,1,98678,POINT (526358.5499632334 6200292.109874669),POINT (591984.3794686475 6144145.517866863)
162203634,16220,3634,36743,1513,1,81141,POINT (526358.5499632334 6200292.109874669),POINT (586949.2737275558 6158075.328618946)
162203721,16220,3721,36743,1047,6,42815,POINT (526358.5499632334 6200292.109874669),POINT (555806.777572514 6179942.837943138)
162203722,16220,3722,36743,5410,1,100839,POINT (526358.5499632334 6200292.109874669),POINT (588945.2741632864 6140931.036368545)
162203723,16220,3723,36743,1305,1,56291,POINT (526358.5499632334 6200292.109874669),POINT (568442.8092429305 6171555.879830467)
162203724,16220,3724,36743,1595,4,118486,POINT (526358.5499632334 6200292.109874669),POINT (620281.121861429 6154016.770889904)
162203727,16220,3727,36743,8628,2,100264,POINT (526358.5499632334 6200292.109874669),POINT (590657.5221295444 6142366.791488993)
162203730,16220,3730,36743,1489,1,66070,POINT (526358.5499632334 6200292.109874669),POINT (584281.6761985368 6187505.922711753)
162203732,16220,3732,36743,18573,3,98397,POINT (526358.5499632334 6200292.109874669),POINT (594448.8143284387 6145604.621110858)
162203826,16220,3826,36743,965,2,121863,POINT (526358.5499632334 6200292.109874669),POINT (622696.1896262862 6152301.644846186)
162203828,16220,3828,36743,21091,5,99707,POINT (526358.5499632334 6200292.109874669),POINT (600169.0660007594 6149058.795812866)
162203830,16220,3830,36743,4724,1,104742,POINT (526358.5499632334 6200292.109874669),POINT (604677.5426081594 6151288.533430437)
162203835,16220,3835,36743,3195,4,99276,POINT (526358.5499632334 6200292.109874669),POINT (591620.7168567854 6143542.296321873)
162203837,16220,3837,36743,1344,3,61590,POINT (526358.5499632334 6200292.109874669),POINT (569594.020546787 6166324.969306257)
162203839,16220,3839,36743,1419,2,81017,POINT (526358.5499632334 6200292.109874669),POINT (584783.0303396771 6157970.427084215)
162203910,16220,3910,36743,1104,1,112670,POINT (526358.5499632334 6200292.109874669),POINT (612311.7367857948 6152860.883868587)
162203914,16220,3914,36743,333,2,47855,POINT (526358.5499632334 6200292.109874669),POINT (565792.2202280801 6182676.398381736)
162203929,16220,3929,36743,119,3,131530,POINT (526358.5499632334 6200292.109874669),POINT (635612.3902673702 6159328.758355368)
162203953,16220,3953,36743,19124,4,98977,POINT (526358.5499632334 6200292.109874669),POINT (596929.5701792388 6146904.617905139)
162203956,16220,3956,36743,153,1,130581,POINT (526358.5499632334 6200292.109874669),POINT (631149.3805777847 6150520.100452561)
162203966,16220,3966,36743,98,1,49773,POINT (526358.5499632334 6200292.109874669),POINT (568042.144798164 6180332.026654204)
162204220,16220,4220,36743,51830,14,393174,POINT (526358.5499632334 6200292.109874669),POINT (766475.5195453273 6415360.379009241)
162204522,16220,4522,36743,14604,4,423530,POINT (526358.5499632334 6200292.109874669),POINT (839046.0861133797 6388193.206929483)
162205320,16220,5320,36743,26231,14,110949,POINT (526358.5499632334 6200292.109874669),POINT (422937.9810020199 6187566.893377856)
162205321,16220,5321,36743,18041,3,167096,POINT (526358.5499632334 6200292.109874669),POINT (381560.5426038019 6237508.70162149)
