CCOMP96,CCOMP04,REG96A04,MODIF96A04
107108006,107108006,0,SIN MODIFICACION
107108007,107108007,0,SIN MODIFICACION
107108008,107108008,0,SIN MODIFICACION
107202004,107202004,0,SIN MODIFICACION
107202005,107202005,0,SIN MODIFICACION
107202009,107202009,0,SIN MODIFICACION
107202010,107202010,0,SIN MODIFICACION
107202011,107202011,0,SIN MODIFICACION
107202012,107202012,0,SIN MODIFICACION
107203001,107203001,0,SIN MODIFICACION
107203004,107203004,0,SIN MODIFICACION
107203007,107203007,0,SIN MODIFICACION
107203010,107203010,0,SIN MODIFICACION
107204008,107204008,0,SIN MODIFICACION
107204009,107204009,0,SIN MODIFICACION
107204010,107204010,0,SIN MODIFICACION
107204011,107204011,0,SIN MODIFICACION
107204012,107204012,0,SIN MODIFICACION
107205006,107205006,0,SIN MODIFICACION
107205007,107205007,0,SIN MODIFICACION
107205008,107205008,0,SIN MODIFICACION
107205009,107205009,0,SIN MODIFICACION
107205010,107205010,0,SIN MODIFICACION
107205011,107205011,0,SIN MODIFICACION
107205012,107205012,0,SIN MODIFICACION
107205013,107205013,0,SIN MODIFICACION
107205004,107205500,1,PARTICION
107205004,107205800,1,PARTICION
107206008,107206008,0,SIN MODIFICACION
107206009,107206009,0,SIN MODIFICACION
107206010,107206010,0,SIN MODIFICACION
107206011,107206011,0,SIN MODIFICACION
107206012,107206012,0,SIN MODIFICACION
107206013,107206013,0,SIN MODIFICACION
107206014,107206014,0,SIN MODIFICACION
107206015,107206015,0,SIN MODIFICACION
107206016,107206016,0,SIN MODIFICACION
107207008,107207008,0,SIN MODIFICACION
107207009,107207009,0,SIN MODIFICACION
107207010,107207010,0,SIN MODIFICACION
107207011,107207011,0,SIN MODIFICACION
107207012,107207012,0,SIN MODIFICACION
107207013,107207013,0,SIN MODIFICACION
107208009,107208009,0,SIN MODIFICACION
107208010,107208010,0,SIN MODIFICACION
107208011,107208011,0,SIN MODIFICACION
107208012,107208012,0,SIN MODIFICACION
107208013,107208013,0,SIN MODIFICACION
107208014,107208014,0,SIN MODIFICACION
107208015,107208015,0,SIN MODIFICACION
107303008,107303008,0,SIN MODIFICACION
107303009,107303009,0,SIN MODIFICACION
107303011,107303011,0,SIN MODIFICACION
107303012,107303012,0,SIN MODIFICACION
108001001,108001001,0,SIN MODIFICACION
108001002,108001002,0,SIN MODIFICACION
108001003,108001003,0,SIN MODIFICACION
108001004,108001004,0,SIN MODIFICACION
108001005,108001005,0,SIN MODIFICACION
108001006,108001006,0,SIN MODIFICACION
108001007,108001007,0,SIN MODIFICACION
108001008,108001008,0,SIN MODIFICACION
108001009,108001009,0,SIN MODIFICACION
108001010,108001010,0,SIN MODIFICACION
108002002,108002002,0,SIN MODIFICACION
108002003,108002003,0,SIN MODIFICACION
108002004,108002004,0,SIN MODIFICACION
108002005,108002005,0,SIN MODIFICACION
108002007,108002007,0,SIN MODIFICACION
108002008,108002008,0,SIN MODIFICACION
