cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
504,5,COLONIA,4,CERRO LARGO,20,43788749,123203,17048887,84698,472743,16.651595480970684,13.066307179430646
604,6,DURAZNO,4,CERRO LARGO,64,13023942,57084,17048887,84698,277112,16.651595480970684,12.532177035579231
704,7,FLORES,4,CERRO LARGO,13,7284124,25050,17048887,84698,347479,16.651595480970684,12.758459510506242
804,8,FLORIDA,4,CERRO LARGO,37,17767290,67047,17048887,84698,335796,16.651595480970684,12.724259111702338
904,9,LAVALLEJA,4,CERRO LARGO,64,15594153,58815,17048887,84698,268569,16.651595480970684,12.500863143156742
1004,10,MALDONADO,4,CERRO LARGO,208,51311595,164298,17048887,84698,322429,16.651595480970684,12.683638235941526
1104,11,PAYSANDU,4,CERRO LARGO,35,26828524,113107,17048887,84698,444743,16.651595480970684,13.005251866224905
1204,12,RIO NEGRO,4,CERRO LARGO,20,24297744,54765,17048887,84698,486397,16.651595480970684,13.094780441851915
1304,13,RIVERA,4,CERRO LARGO,162,20212707,103473,17048887,84698,240871,16.651595480970684,12.392016799455277
1404,14,ROCHA,4,CERRO LARGO,59,17547856,68088,17048887,84698,254955,16.651595480970684,12.448842337979562
1504,15,SALTO,4,CERRO LARGO,18,25542275,124861,17048887,84698,427098,16.651595480970684,12.964768774074505
1604,16,SAN JOSE,4,CERRO LARGO,31,26930981,108304,17048887,84698,417390,16.651595480970684,12.941776315504033
1704,17,SORIANO,4,CERRO LARGO,12,22993631,82594,17048887,84698,468718,16.651595480970684,13.057756587269816
1804,18,TACUAREMBO,4,CERRO LARGO,168,18093592,90051,17048887,84698,249464,16.651595480970684,12.427069895185959
1904,19,TREINTA Y TRES,4,CERRO LARGO,409,11720592,48134,17048887,84698,109230,16.651595480970684,11.60121102983759
105,1,MONTEVIDEO,5,COLONIA,2100,465848031,1318755,43788749,123203,172773,17.594887470203254,12.05973387314379
205,2,ARTIGAS,5,COLONIA,167,14214980,73377,43788749,123203,556293,17.594887470203254,13.229050412845622
305,3,CANELONES,5,COLONIA,422,86306492,520173,43788749,123203,189989,17.594887470203254,12.154721454729817
405,4,CERRO LARGO,5,COLONIA,63,17048887,84698,43788749,123203,472743,17.594887470203254,13.066307179430646
605,6,DURAZNO,5,COLONIA,70,13023942,57084,43788749,123203,199701,17.594887470203254,12.204576526902637
705,7,FLORES,5,COLONIA,86,7284124,25050,43788749,123203,125265,17.594887470203254,11.738186772255439
805,8,FLORIDA,5,COLONIA,107,17767290,67047,43788749,123203,194958,17.594887470203254,12.180539429731901
905,9,LAVALLEJA,5,COLONIA,39,15594153,58815,43788749,123203,280946,17.594887470203254,12.5459177590302
1005,10,MALDONADO,5,COLONIA,196,51311595,164298,43788749,123203,296919,17.594887470203254,12.601214653315264
1105,11,PAYSANDU,5,COLONIA,151,26828524,113107,43788749,123203,251003,17.594887470203254,12.43322017023373
1205,12,RIO NEGRO,5,COLONIA,176,24297744,54765,43788749,123203,173120,17.594887470203254,12.061740274640254
1305,13,RIVERA,5,COLONIA,77,20212707,103473,43788749,123203,484612,17.594887470203254,13.091103849748851
1405,14,ROCHA,5,COLONIA,49,17547856,68088,43788749,123203,398581,17.594887470203254,12.895666018790813
1505,15,SALTO,5,COLONIA,134,25542275,124861,43788749,123203,369966,17.594887470203254,12.821166388506196
1605,16,SAN JOSE,5,COLONIA,452,26930981,108304,43788749,123203,123292,17.594887470203254,11.722310804646833
1705,17,SORIANO,5,COLONIA,1053,22993631,82594,43788749,123203,115038,17.594887470203254,11.653017787546446
1805,18,TACUAREMBO,5,COLONIA,79,18093592,90051,43788749,123203,348238,17.594887470203254,12.760641433044054
1905,19,TREINTA Y TRES,5,COLONIA,41,11720592,48134,43788749,123203,412983,17.594887470203254,12.931161708868379
106,1,MONTEVIDEO,6,DURAZNO,982,465848031,1318755,13023942,57084,198970,16.38229991389759,12.200909338573293
206,2,ARTIGAS,6,DURAZNO,33,14214980,73377,13023942,57084,446123,16.38229991389759,13.008349977733939
306,3,CANELONES,6,DURAZNO,223,86306492,520173,13023942,57084,190159,16.38229991389759,12.155615843290757
406,4,CERRO LARGO,6,DURAZNO,67,17048887,84698,13023942,57084,277112,16.38229991389759,12.532177035579231
506,5,COLONIA,6,DURAZNO,63,43788749,123203,13023942,57084,199701,16.38229991389759,12.204576526902637
706,7,FLORES,6,DURAZNO,90,7284124,25050,13023942,57084,74436,16.38229991389759,11.217694974761118
806,8,FLORIDA,6,DURAZNO,307,17767290,67047,13023942,57084,121653,16.38229991389759,11.708928008820047
906,9,LAVALLEJA,6,DURAZNO,29,15594153,58815,13023942,57084,202724,16.38229991389759,12.219600727009865
1006,10,MALDONADO,6,DURAZNO,75,51311595,164298,13023942,57084,260814,16.38229991389759,12.471562788575458
1106,11,PAYSANDU,6,DURAZNO,55,26828524,113107,13023942,57084,256355,16.38229991389759,12.454318481605211
1206,12,RIO NEGRO,6,DURAZNO,54,24297744,54765,13023942,57084,235480,16.38229991389759,12.369381263142198
1306,13,RIVERA,6,DURAZNO,50,20212707,103473,13023942,57084,336484,16.38229991389759,12.726305878645231
