"Indicador: Cantidad de empresas industriales"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2013"

;Total
"FORTIN DE SANTA ROSA";0
"FRACC. PROGRESO";0
"INSTITUTO ADVENTISTA";0
JAUREGUIBERRY;0
"LA LUCHA";0
"LA MONTANESA";0
"LOMAS DE SOLYMAR";0
"LOS TITANES";2
MARINDIA;0
NEPTUNIA;0
"PASO DE LA CADENA";1
"PASO PALOMEQUE";0
"PIEDRA DEL TORO";1
"ESTACION PIEDRAS DE AFILAR";0
"EL GALEON";0
"SANTA ANA (CAN)";0
"SANTA LUCIA DEL ESTE";0
"SEIS HERMANOS";0
"VILLA AREJO";0
"VILLA ARGENTINA";0
"VILLA PORVENIR";0
"LA TUNA";36
GUAZUVIRA;2
"COLINAS DE SOLYMAR";19
"BARRIO REMANSO";0
"VILLA EL TATO";0
"VILLA SAN CONO";1
"VILLA JUANA";0
"COLINAS DE CARRASCO";0
"LOMAS DE CARRASCO";0
CARMEL;0
"LA ASUNCION";0
"QUINTAS DEL BOSQUE";0
"ALTOS DE LA TAHONA";1
MELO;0
"FRAILE MUERTO";0
"RIO BRANCO";0
TUPAMBAE;0
"ISIDORO NOBLIA";0
ACEGUA;0
"BAÑADO DE MEDINA";0
CENTURION;0
"CERRO DE LAS CUENTAS";0
HIPODROMO;0
"PLACIDO ROSAS";0
"TOLEDO (CEL)";0
"TRES ISLAS";1
"POBLADO URUGUAY";0
"RURAL CERRO LARGO";0
"ARBOLITO (CEL)";0
AREVALO;0
"CASERIO LAS CAÑAS";0
"ESPERANZA (CEL)";12
"GETULIO VARGAS";5
"LA PEDRERA (CEL)";6
"LAGO MERIN";8
"MANGRULLO (CEL)";2
NANDO;5
"QUEBRACHO (CEL)";0
"RAMON TRIGO";1
"SOTO GORO";8
"BARRIO LOPEZ BENITEZ";3
"BARRIO LA VINCHUCA";0
"ARACHANIA (CEL)";1
ÑANGAPIRE;0
"COLONIA DEL SACRAMENTO";0
CARMELO;0
"JUAN LACAZE";0
"NUEVA HELVECIA";0
ROSARIO;0
"NUEVA PALMIRA";0
"PASO ANTOLIN";0
"OMBUES DE LAVALLE";0
TARARIRAS;0
"COLONIA VALDENSE";0
"FLORENCIO SANCHEZ";0
CONCHILLAS;0
"CASERIO EL CERRO";1
"LA PAZ (COL)";0
RIACHUELO;0
"JUAN CARLOS CASEROS";0
"AGRACIADA (COL)";0
"BOCA DEL ROSARIO";0
CUFRE;0
"EL SEMILLERO";0
"ESTACION ESTANZUELA";0
"CERROS DE SAN JUAN";0
MIGUELETE;0
"RURAL COLONIA";0
CAMPANA;0
ARTILLEROS;0
BARKER;0
"EL ENSUEÑO";0
"BLANCA ARENA";0
"BRISAS DEL PLATA";0
"COLONIA COSMOPOLITA";0
"PARAJE MINUANO";0
"LOS PINOS";0
"CHICO TORINO";0
"LA HORQUETA";0
"PLAYA AZUL";0
"PLAYA BRITOPOLIS";0
"PLAYA PARANT";0
"PLAYA FOMENTO";0
"PUERTO INGLES";27
"RADIAL HERNANDEZ";4
"SAN PEDRO";0
"SANTA ANA (COL)";0
"SANTA REGINA";0
ZAGARZAZU;0
ARRIVILLAGA;0
"EL FARO";4
"LAGUNA DE LOS PATOS";0
"JUAN JACKSON";1
"PUEBLO GIL";0
"CERRO CARMELO";0
"EL QUINTON";0
DURAZNO;0
"SARANDI DEL YI";0
CARMEN;0
BLANQUILLO;0
"LA PALOMA (DUR)";0
"CARLOS REYLES";27
CENTENARIO;0
"SANTA BERNARDINA";0
"CERRO CHATO (DUR)";0
BAYGORRIA;0
"RURAL DURAZNO";0
