cod,depto_origen,depto_destino,personas_mig,personas_mig_100k,pob_origen,pob_destino,dist,pbi_origen,pbi_porcen_ori,pbi_destino,pbi_porcen_des,largo_limite,dummy_limit,empresas_origen,empresas_destino,log_pbi_destino,log_dist,nom_depto_orig,nom_depto_des
518,5,18,34,34,123203,90051,348238,43788749,4.7,18093592,2.0,,False,60,61,16.71106840040235,12.760641433044054,COLONIA,TACUAREMBO
519,5,19,23,23,123203,48134,412983,43788749,4.7,11720592,1.3,,False,60,38,16.276857852782847,12.931161708868379,COLONIA,TREINTA Y TRES
601,6,1,1610,1542,57084,1318755,198867,13023942,1.4,465848031,50.3,,False,40,3124,19.959370025169367,12.200391538558206,DURAZNO,MONTEVIDEO
602,6,2,32,29,57084,73377,446123,13023942,1.4,14214980,1.5,,False,40,55,16.469806896101773,13.008349977733939,DURAZNO,ARTIGAS
603,6,3,466,367,57084,520173,190058,13023942,1.4,86306492,9.3,,False,40,563,18.273415379180292,12.1550845677172,DURAZNO,CANELONES
604,6,4,64,27,57084,84698,277112,13023942,1.4,17048887,1.8,91548.0,True,40,88,16.651595480970684,12.532177035579231,DURAZNO,CERRO LARGO
605,6,5,70,54,57084,123203,199701,13023942,1.4,43788749,4.7,,False,40,60,17.594887470203254,12.204576526902637,DURAZNO,COLONIA
607,6,7,149,10,57084,25050,74436,13023942,1.4,7284124,0.8,91775.0,True,40,28,15.801207743298134,11.217694974761118,DURAZNO,FLORES
608,6,8,404,77,57084,67047,121653,13023942,1.4,17767290,1.9,182177.0,True,40,101,16.692869684280286,11.708928008820047,DURAZNO,FLORIDA
609,6,9,67,35,57084,58815,202724,13023942,1.4,15594153,1.7,,False,40,54,16.562406594269497,12.219600727009865,DURAZNO,LAVALLEJA
610,6,10,198,176,57084,164298,260638,13023942,1.4,51311595,5.5,,False,40,188,17.753427307993373,12.470887750387156,DURAZNO,MALDONADO
611,6,11,59,52,57084,113107,256308,13023942,1.4,26828524,2.9,,False,40,144,17.104976207843436,12.454135125286806,DURAZNO,PAYSANDU
612,6,12,62,28,57084,54765,235433,13023942,1.4,24297744,2.6,112081.0,True,40,67,17.00589406449475,12.369181650898934,DURAZNO,RIO NEGRO
613,6,13,42,35,57084,103473,336484,13023942,1.4,20212707,2.2,,False,40,62,16.821822024002444,12.726305878645231,DURAZNO,RIVERA
614,6,14,61,41,57084,68088,299700,13023942,1.4,17547856,1.9,,False,40,54,16.680442335171204,12.610537253304754,DURAZNO,ROCHA
615,6,15,28,18,57084,124861,347928,13023942,1.4,25542275,2.8,,False,40,97,17.05584548056092,12.759750840798842,DURAZNO,SALTO
616,6,16,124,83,57084,108304,174995,13023942,1.4,26930981,2.9,,False,40,154,17.108787891900022,12.07251268106891,DURAZNO,SAN JOSE
